id,category,name,address,phone,site,notes
1,歐陸,92水鳥,臺北市北投區知行路92號1樓,02-2858-8668,http://t.cn/ESroD8Y,
2,歐陸,ANTICO FORNO 老烤箱義式手桿披薩,臺北市大安區瑞安街141號1樓,02-2706-3322,https://goo.gl/AiVW48,
3,歐陸,Botega del vin,臺北市大安區忠孝東路4段170巷17弄7號,02-2752-5330,https://goo.gl/eEML1D,
4,歐陸,Cova Taiwan,臺北市信義區忠孝東路5段68號2樓,02-2722-7655,https://goo.gl/AcvhL1,
5,歐陸,HESTIA-西班牙小酒館,臺北市松山區民生東路3段130巷18弄4號1樓,02-2715-3707,https://goo.gl/efw64W,
6,歐陸,Hidden by DN 隱丹廚,臺北市大安區延吉街261號,0909-849-937,https://goo.gl/dSGyuo,2019米其林餐盤、2018米其林餐盤
7,歐陸,Howfun Paella Bar & Bistro好飯食堂,臺北市內湖區瑞光路589號1樓,02-8751-3332,https://goo.gl/mFAyVL,
8,歐陸,Jamie's Italian,臺北市信義區松壽路11號3樓,02-8780-2050,https://goo.gl/Ew1gP3,
9,歐陸,JAPOLI義大利餐酒館,臺北市大安區忠孝東路4段49巷2號B1,02-2731-6633,https://goo.gl/Hd87xK,
10,歐陸,L’origine La Credenza歐傑洛義式餐廳,臺北市南港區忠孝東路7段528號2樓,02-2789-3358,https://goo.gl/X9VymG,2018米其林餐盤
11,歐陸,LA CAJA DE MUSICA樂盒子,臺北市大同區長安西路138巷3弄18號1樓,0975-330-741,https://goo.gl/VdVSwH,
12,歐陸,La Lupa Classic 經典母狼,臺北市大同區迪化街1段244號,02-2557-7980,https://goo.gl/gDFt2D,
13,歐陸,La MESA 西班牙餐廳,臺北市大安區延吉街137巷33號,02-2778-7676,https://goo.gl/c7iSQ6,
14,歐陸,La Piola Cucina Italiana,臺北市大安區光復南路308巷45號1樓,02-2740-6638,https://goo.gl/zhMPy8,
15,歐陸,La Querida小情人,臺北市中山區玉門街1號1樓,02-2585-2488,https://goo.gl/WxsCph,
16,歐陸,Le Blanc,臺北市大安區大安路1段183號,02-2700-7770,https://goo.gl/P4Peqg,2018米其林餐盤
17,歐陸,LuLu義大利餐廳,臺北市松山區民生東路3段113巷9號,02-2713-2250,https://goo.gl/yVtGd7,
18,歐陸,MVSA Spanish Restaurant & Bar沐紗西班牙餐廳,臺北市中山區建國北路一段61號,02 2705 8918,https://goo.gl/ooRtCK,
19,歐陸,Orchid Restaurant 蘭,臺北市大安區安和路2段83號,02-2378-3333,https://goo.gl/bNsrBA,2019米其林餐盤、2018米其林餐盤
20,歐陸,Osteria by Angie,臺北市中山區樂群三路61號,02-8502-7733,https://goo.gl/vgPDCn,
21,歐陸,PURO PURO西班牙傳統海鮮料理餐廳,臺北市中山區八德路2段265號1樓,02-2778-4818,https://goo.gl/R8Hfz9,
22,歐陸,Puti Puti,臺北市松山區東興路12號1樓,02-2747-5007,https://reurl.cc/ONAlg,
23,歐陸,RAW,臺北市中山區樂群三路301號,02-8501-5800,https://goo.gl/YCRxJx,2019二星米其林、2018一星米其林
24,歐陸,S Hotel-HYG 北歐美饌,臺北市松山區敦化北路150號,02-2712-0877,https://goo.gl/YjQV8P,
25,歐陸,Solo Pasta,臺北市大安區安和路1段29-1號1樓,02-2775-3645,https://goo.gl/iaqKCL,
26,歐陸,Solo Pizza Napoletana,臺北市大同區赤峰街8巷4號1樓,02-2550-6236,https://goo.gl/q5sWRM,
27,歐陸,Taïrroir 態芮,臺北市中山區樂群三路299號6樓,02-8501-5500,https://goo.gl/wnQKEP,2019二星米其林、2018一星米其林
28,歐陸,Woolloomooloo,臺北市信義區信義路四段379號,02-8789-0128,https://reurl.cc/n99yl,
29,歐陸,巴獅子德國餐廳,臺北市大安區敦化南路2段63巷19號,02-2325-6457,https://goo.gl/KgHpK2,
30,歐陸,台北西華飯店-Toscana義大利餐廳,臺北市松山區民生東路3段111號,02-2718-1188,https://goo.gl/QLwFQY,
31,歐陸,台北君悅酒店-寶艾西餐廳,臺北市信義區松壽路2號2樓,02-2720-1230,https://goo.gl/sX6q9v,2018米其林餐盤
32,歐陸,台北亞都麗緻大飯店-巴黎廳1930 ,臺北市中山區民權東路2段41號2樓,02-2597-1234,https://goo.gl/T63JDG,2018米其林餐盤
33,歐陸,台北亞都麗緻大飯店-巴賽麗廳,臺北市中山區民權東路2段41號,02-2597-1234,https://goo.gl/EmwYUj,
34,歐陸,台北文華東方酒店-BENCOTTO,臺北市松山區敦化北路158號6樓,02-2715-6668,https://goo.gl/g4UrEA,2108米其林餐盤
35,歐陸,台北松山意舍酒店-Que 原木燒烤餐廳,臺北市南港區市民大道7段8號17樓,02-2653-2899,https://goo.gl/D7QQjw,
36,歐陸,台北喜來登大飯店比薩屋,臺北市中正區忠孝東路1段12號B1,02-2321-1818,https://goo.gl/4TRxGE,
37,歐陸,台北寒舍艾美酒店-探索廚房,臺北市信義區松仁路38號,02-6622-8000,https://goo.gl/s3pgeF,
38,歐陸,台北晶華酒店-Robin's 鐵板燒,臺北市中山區中山北路2段39巷3號2樓,02-2521-5000#3930,https://goo.gl/XWz3ta,2019米其林餐盤、2018米其林餐盤
39,歐陸,行冊Walkingbook,臺北市大同區延平北路2段33號,02-2558-0915,https://goo.gl/fNKYkr,
40,歐陸,沾美西餐廳,臺北市大安區仁愛路4段77號B1,02-2711-7750,https://goo.gl/tjXV4Y,
41,歐陸,金色三麥(誠品信義店),臺北市信義區松高路11號B1,02-8789-5911,https://goo.gl/gGhXxK,
42,歐陸,哈古小館,臺北市松山區富錦街469號,02-2767-8483,https://goo.gl/4b7spG,
43,歐陸,香格里拉台北遠東國際大飯店-馬可波羅餐廳(Marco Polo),臺北市大安區敦化南路2段201號38樓,02-7711-2080,https://goo.gl/UTunkE,2018米其林餐盤
44,歐陸,雅室牛排館,臺北市大安區仁愛路四段105巷1號,02-2775-3011,https://goo.gl/Rvp4aX,
45,歐陸,溫德德式烘焙餐廳,臺北市士林區德行西路5號,02-2831-4415,https://goo.gl/ZMfm2k,
46,歐陸,歐華酒店-地中海牛排館,臺北市中山區林森北路646號,02-2585-3258,https://goo.gl/92vtaZ,
47,歐陸,賦樂旅居-TK Seafood & Steak,臺北市大安區大安路1段56號1樓,0903-393-008,https://goo.gl/OF4nVB,
48,歐陸,豐舍,臺北市大同區迪化街1段356-2號1樓,02-2557-9935,https://goo.gl/qbjf5i,
49,日韓,MaiSEN邁泉豬排,臺北市信義區松壽路9號新光信義A9-6樓,02-2722-2138,https://goo.gl/Yv1Bbh,
50,日韓,德相N.C.I.S美式加州壽司,臺北市松山區南京東路三段256巷28弄2號,02-2721-9267,https://goo.gl/f8aymR,
51,日韓,らあめん花月嵐拉麵(西門武昌店),臺北市萬華區武昌街2段29號1樓,02-2361-5358,https://goo.gl/5odZGy,
52,日韓,三井日本料理(本館),臺北市中山區農安街30號,02-2594-3394,https://goo.gl/g5S3GH,
53,日韓,三元花園韓式餐廳(潭美店),臺北市內湖區石潭路1號1樓,02-2792-7222,https://goo.gl/uZ9kho,
54,日韓,三花日式料理,臺北市中山區建國北路2段9-2號1樓,02-8978-5000,https://goo.gl/1ymq8j,
55,日韓,大戶屋(微風台北車站店),臺北市中正區北平西路3號2樓,02-2331-9337,https://goo.gl/6rH1gE,
56,日韓,大吉漢堡食堂,臺北市信義區富陽街44巷23號1樓,02-8732-6519,https://goo.gl/o8626d,
57,日韓,大腕燒肉專門店,臺北市大安區敦化南路1段177巷22號,02-2711-0179,https://goo.gl/cJz52b,2019一星米其林、2018一星米其林
58,日韓,手串本舖,臺北市大安區仁愛路4段8巷20號,02-2705-2892,https://reurl.cc/MVp0k,
59,日韓,台北老爺酒店-中山日本料理廳,臺北市中山區中山北路2段37之1號2F,02-2542-3299#328,https://goo.gl/Y7rv9C,
60,日韓,旬採鮨処(信義店),臺北市大安區信義路4段199巷3號,02-2707-1383,https://goo.gl/LWh3UY,2019米其林餐盤(中山店)、2018米其林餐盤(中山店)
61,日韓,炙酒食廚房,臺北市大安區光復南路290巷66號,02-2772-8959,https://goo.gl/g7L9Ts,
62,日韓,南大門,臺北市中山區林森北路119巷63號1樓,02-2571-1017,https://goo.gl/pBsFqZ,
63,日韓,紅花鐵板燒,臺北市信義區市府路45號5樓,02-8101-8102,https://goo.gl/H8sdPx,
64,日韓,葫同燒肉夜食,臺北市中山區樂群二路199號,02-8501-5152,https://goo.gl/7v34GS,
65,日韓,香格里拉台北遠東國際大飯店-ibuki by TAKAGI KAZUO,臺北市大安區敦化南路2段201號7樓,02-7711-2080,https://goo.gl/TJ48fT,
66,日韓,涓豆腐(松山店),臺北市信義區松山路11號2樓,02-2747-3088,https://goo.gl/ssyALf,
67,日韓,笹鮨 SASA,臺北市中山區中山北路2段42巷6號1樓,02-2561-1246,https://goo.gl/hbfkQ2,2019米其林餐盤、2018米其林餐盤
68,日韓,菊元日本料理,臺北市大同區民生西路300號3~4樓,02-2555-7566,https://goo.gl/5X7QJP,
69,日韓,逸鮮棧餐廳,臺北市信義區忠孝東路4段500之3號,02-2725-3555,https://goo.gl/ZqKMey,
70,日韓,新丼,臺北市大同區長安西路66號,02-2555-9292,https://goo.gl/EtvHUj,
71,日韓,燈燈庵TOUTOUAN,臺北市大安區敦化南路2段81巷20號,02-2705-0101,https://goo.gl/mwNGwk,
72,日韓,燒桶子韓風立燒,臺北市大安區延吉街99號1樓 ,02-2721-9192,https://goo.gl/UGY58k,
73,日韓,鮨一,臺北市中山區民權東路3段60巷4號,02-2502-5488,https://goo.gl/zDzeo6,
74,中華,上海鄉村(仁愛店),臺北市中正區仁愛路1段17號B1,02-2396-5154,https://goo.gl/nvNi3j,
75,中華,天廚菜館,臺北市中山區南京西路1號3~4樓,02-2563-2171,https://goo.gl/uhgo1h,
76,中華,兄弟飯店-蘭花廳,臺北市松山區南京東路3段255號2F,02-2712-3456,https://goo.gl/ZUvg5P,
77,中華,台北W飯店-YEN紫艷中餐廳,臺北市信義區忠孝東路5段10號31樓,02-7703-8887,https://goo.gl/BcgAaF,
78,中華,台北國賓大飯店-川菜廳,臺北市中山區中山北路2段63號12樓,02-2551-1111#2383,https://goo.gl/bjZPVR,2019米其林餐盤、2018米其林餐盤
79,中華,成家小館(創始店),臺北市文山區木新路3段154號,02-2937-4611,https://bit.ly/2Odl2xG,
80,中華,叁和院 台灣風格飲食,臺北市大安區忠孝東路4段101巷14號,02-2731-3833,https://reurl.cc/9aepx,
81,中華,欣葉臺菜(創始店),臺北市中山區雙城街34-1號,02-2596-3255,https://goo.gl/6Miir5,2019米其林餐盤、2018米其林餐盤
82,中華,青葉餐廳(中山店),臺北市中山區中山北路1段105巷10號,02-2551-7957,https://goo.gl/yTt9YB,
83,中華,紅豆食府(信義店),臺北市信義區松壽路9號7樓,02-8789-2929,https://bit.ly/2LEdba2,
84,中華,秦味館,臺北市大安區延吉街138巷2號,02-8771-3288,https://goo.gl/ubUJLF,
85,中華,高記 (永康店),臺北市大安區永康街1號,02-2341-9984,https://goo.gl/EV2qzc,
86,中華,彭園湘菜館,臺北市中山區林森北路380號2樓,02-2551-9157,https://goo.gl/HYCEXC,
87,中華,華泰王子飯店-九華樓,臺北市中山區林森北路 369 號 2 樓,02-7721-6619,https://goo.gl/cxzQ4x,
88,中華,開飯川食堂(忠孝店),臺北市大安區忠孝東路4段98號7樓,02-8771-6238,https://goo.gl/e8C96h,
89,中華,一東方精緻料理餐廳,臺北市松山區民生東路3段122號,02 2713 1888,https://goo.gl/yCs7Cv,
90,中華,鼎泰豐(信義店),臺北市大安區信義路2段194號,02-2321-8928,https://goo.gl/u9GJSG,2019必比登推介、2018必比登推介
91,中華,榮榮園,臺北市大安區信義路4段25號2樓,02-2703-8822,https://goo.gl/YL6bfn,2019必比登推介
92,中華,福州新利菜館,臺北市中山區龍江路85號,02-2771-2088,https://goo.gl/IqwrXU,
93,中華,福華大飯店-蓬萊邨 Formosa,臺北市大安區仁愛路3段160號B1,02-2326-7433,https://goo.gl/9Q6Nv7,
94,中華,聚馥園,臺北市中山區南京東路3段219號3樓,02-2718-5588,https://bit.ly/2SZ0sQp,
95,中華,熱海大飯店-熱海廳,臺北市北投區光明路258號,02-2892-1366,https://goo.gl/6qzUgT,
96,中華,雞家莊(六條通店),臺北市中山區中山北路1段105巷9號,02-2541-8261,https://goo.gl/nwHeXL,2019米其林餐盤(長春店)、2018米其林餐盤(長春店)
97,中華,鬍鬚張美食文化館,臺北市大同區寧夏路62 號,02-2558-9489,https://goo.gl/MU4W48,
98,美墨,肉舖廚房,臺北市中山區玉門街1號,02-2597-1506,https://goo.gl/ub73mr,
99,美墨,Danny's WhatsGrill,臺北市內湖區洲子街105號,02-2656-0011,https://goo.gl/KRGnKb,
100,美墨,GB鮮釀餐廳(新光三越A11館),臺北市信義區松壽路11號2樓 ,02-8786-7588,https://goo.gl/F4dgYS,
101,美墨,Lawry's 勞瑞斯牛肋排餐廳,臺北市信義區松仁路105號B1 (克緹國際大樓),02-2729-8555,https://goo.gl/xwTQSd,
102,美墨,Macho Tacos瑪丘墨式餅舖(延吉店),臺北市大安區延吉街126巷3號 ,02-2731-4489,https://reurl.cc/Rm5jr,
103,美墨,O'Steak,臺北市大安區金華街164巷1弄6號1樓,02-2393-1616,https://goo.gl/NpXGWQ,
104,美墨,PICO PICO Restaurant & Bar,臺北市大安區安和路1段102巷28號,02-2755-1161,https://goo.gl/JNUz35,
105,美墨,Ruth's Chris,臺北市松山區民生東路3段135號,02-2545-8888,https://goo.gl/8C3Jvf,
106,美墨,the Chips美式餐廳(光復店),臺北市大安區光復南路280巷37號,02-2778-9993,https://goo.gl/iLQc1X,
107,美墨,Twinkeyz Tacos,臺北市大安區延吉街131巷7之1號,02-2778-7707,https://goo.gl/BzEFDR,
108,美墨,艾迪墨西哥餐廳(天母2店),臺北市士林區天母東路63號,02-2872-1848,https://goo.gl/jDyTcY,
109,美墨,洋旗洋蔥牛排餐廳,臺北市大安區羅斯福路3段245號2F,02-2367-2559,https://goo.gl/G2mmos,
110,美墨,發福廚房(民權店),臺北市松山區民權東路3段140巷7號,02-2713-5923,https://goo.gl/ab6nq2,
111,美墨,貳樓(敦南店),臺北市大安區敦化南路2段63巷14號,02-2700-9855,https://goo.gl/3UTMaj,
112,美墨,台北寶萊納餐廳(關渡店),臺北市北投區學園路1號,02-2891-7677,https://goo.gl/YQMLz4,
113,南洋,小紅點新加坡廚房 (Red.),臺北市大安區大安路1段51巷30號1樓,02-2779-0160,https://goo.gl/unV1qe,
114,南洋,金爸爸南港店,臺北市南港區經貿二路166號1樓,02-2785-7677,https://goo.gl/xCqW8v,
115,南洋,TAJ泰姬印度餐廳,臺北市大安區市民大道4段48巷1號,02-8773-0175,https://reurl.cc/9ae1x,
116,南洋,Thai&Thai Restaurant,臺北市松山區敦化北路158號5樓,02-2719-6689,https://goo.gl/as7xye,2019米其林餐盤、2018米其林餐盤
117,南洋,台北泰(民生店),臺北市松山區民生東路5段164號1樓,02-3765-2352,https://goo.gl/JANjXu,
118,南洋,瓦城(南港車站店),臺北市南港區忠孝東路7段369號8樓 (City Link C棟),02-2785-6522,https://goo.gl/ATFzmW,
119,南洋,坦都印度餐廳,臺北市中山區合江街73巷10號,02-2509-9853,https://goo.gl/m1TJvg,
120,南洋,非常泰,臺北市信義區松壽路22號2樓,02-8789-6200,https://goo.gl/NgjN2m,
121,南洋,香米泰國料理,臺北市中山區復興北路174號1樓,02-8770-7309,https://goo.gl/WC5M69,
122,南洋,香色,臺北市中正區湖口街1之2號,02-2358-1819,https://goo.gl/a3rW7h,
123,南洋,香茅廚泰式餐廳,臺北市松山區復興南路1段39號G樓,02-6600-3210,https://goo.gl/k2KtBi,
124,南洋,香料屋印度料理The Spice Shop Indian Cuisine,臺北市士林區天母東路50巷10弄6號,02-2873-7775,https://goo.gl/Jg1WvK,
125,南洋,泰集,臺北市信義區忠孝東路五段68號4樓,02-2722 8618,https://reurl.cc/5zjp6,
126,南洋,台北喜來登大飯店-SUKHOTHAI,臺北市中正區忠孝東路1段12號2樓,02-2321-1818,https://goo.gl/UtVEMR,
127,南洋,馬友友印度廚房,臺北市中山區新生北路1段38號,02-2543-1817,https://goo.gl/KsU3Km,
128,南洋,越香蘭,臺北市士林區中山北路五段604號,02-2836-1256,https://goo.gl/cremXw,
129,南洋,誠記越南麵食館,臺北市大安區永康街6巷1號,02-2321-1579,https://goo.gl/eJS3Ta,
130,南洋,饗泰多泰式風格餐廳,臺北市信義區松高路16號3樓,02-2722-1728,https://goo.gl/DjhD8y,
